BRX,BX Swiss,CH
FSE,Frankfurter Börse,GER
L&S,Lang & Schwarz,AUT
MXK,Mexico Stock Exchange,MEX
NASDAQ,NASDAQ Stock Market,USA
NYSE,New York Stock Exchange,USA
STU,Stuttgarter Börse,GER
XETRA,XETRA,GER
