"GRADING_GROUP","GRADING_LEVEL","GRADING_CATEGORY","MINUS_POINTS"
1,3,2,0
1,3,1,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
