"GRADING_GROUP","GRADING_LEVEL","GRADING_CATEGORY","MINUS_POINTS"
1,1,1,0.5
1,2,2,1
1,3,3,0.5
1,3,4,0.5
1,2,5,0.5
1,1,6,1
2,1,1,0.5
2,2,2,0.5
2,3,3,0.5
2,3,4,0.5
2,2,5,0.5
2,1,6,0.5
