"XPATH","EXERCISE"
"//Bezirk",13044
"//unbelegterbezirk",13047
"//produkt",13055
"//kunde",13059
"//kunde",13058
"//NichtSingleWohnung",13043
"//*",14310
"/prodInSortiment/vkPreis",14325
"//vkPreis",14325
"//vermieterstatistik",13046
